play_in_Id,team_ID,salary,start_year,player_ID
1,480,6519811,1997,1
2,4,2936939,1985,2
3,83,4879595,1996,3
4,442,3795771,1985,4
5,62,887746,2017,5
6,472,5762590,1972,6
7,244,424813,1980,7
8,326,608536,1966,8
9,33,4473445,1968,9
10,225,8285137,1956,10
11,178,9795155,2022,11
12,281,177072,1965,12
13,336,7586114,1961,13
14,425,793634,1961,14
15,362,1366390,1964,15
16,309,6564554,1970,16
17,326,9917586,1997,17
18,461,6963822,1953,18
19,295,3361396,1969,19
20,142,5364436,1979,20
21,494,3944863,1955,21
22,444,9654760,1985,22
23,467,5321030,1998,23
24,37,2607366,1956,24
25,419,7851475,1975,25
26,343,1883578,1989,26
27,484,4565067,1946,27
28,394,5841771,2022,28
29,178,7281635,2004,29
30,393,4763698,1947,30
31,93,1821525,1951,31
32,274,7888555,1988,32
33,452,5329489,1955,33
34,439,4864664,1980,34
35,141,2485576,1950,35
36,354,2997398,1958,36
37,290,7783845,1991,37
38,354,5168597,1975,38
39,187,4282310,1968,39
40,351,8555868,1974,40
41,32,510701,1968,41
42,161,8270395,2013,42
43,365,2940740,1951,43
44,196,1326593,2001,44
45,243,2899831,2022,45
46,119,4958487,1970,46
47,305,6454203,1986,47
48,149,6641900,1967,48
49,263,8895263,1957,49
50,229,6437145,2001,50
51,309,6550314,1955,51
52,164,1953811,1974,52
53,50,2901117,1961,53
54,75,4738478,2013,54
55,472,2705681,1972,55
56,94,8464079,1986,56
57,79,3999442,2007,57
58,433,1363688,1953,58
59,262,7886736,1970,59
60,100,6013834,1997,60
61,192,1670734,1962,61
62,124,4837574,2012,62
63,487,4090291,1953,63
64,197,139296,1974,64
65,307,1949329,2022,65
66,194,5163239,1965,66
67,307,705992,2019,67
68,364,7376440,1997,68
69,338,4586999,1970,69
70,87,4703517,1987,70
71,161,2988227,2010,71
72,278,5265415,2016,72
73,260,9904265,1954,73
74,278,9488728,1999,74
75,52,195422,2008,75
76,405,2839513,1996,76
77,145,6062140,1971,77
78,387,1825747,1992,78
79,218,5995448,2019,79
80,427,1732023,1984,80
81,85,1132200,2010,81
82,82,4561051,1994,82
83,69,1806850,2001,83
84,392,3605637,1992,84
85,455,4758094,1961,85
86,451,486315,2016,86
87,98,6247978,2021,87
88,358,1761264,2006,88
89,323,7367267,1993,89
90,495,5951764,1999,90
91,6,1933946,2022,91
92,181,7366926,1991,92
93,65,2929458,2014,93
94,327,1350276,1947,94
95,191,7521419,2015,95
96,452,459200,1953,96
97,224,7204469,2022,97
98,90,7972263,1947,98
99,363,9422347,1987,99
100,20,135634,1990,100
101,206,854180,2019,101
102,113,2626314,1964,102
103,408,4072442,2007,103
104,178,3799915,1948,104
105,77,1201849,1983,105
106,430,369573,1992,106
107,383,4116109,1987,107
108,435,8697536,1982,108
109,27,4865933,1985,109
110,139,6586137,2020,110
111,180,5354570,1967,111
112,428,1778181,2007,112
113,8,4935132,2006,113
114,470,6403121,2015,114
115,236,9982264,1981,115
116,405,2035140,2013,116
117,277,2867686,2023,117
118,385,9475445,2021,118
119,25,7614210,2023,119
120,325,5003151,1979,120
121,69,9520648,1998,121
122,234,4925638,2012,122
123,29,9436335,1973,123
124,26,753038,1948,124
125,499,8530154,1948,125
126,428,856713,1980,126
127,346,4768954,1957,127
128,347,7030694,1949,128
129,244,2585047,2011,129
130,41,8206263,1983,130
131,209,4664760,1960,131
132,57,9157295,1975,132
133,94,4261493,1961,133
134,78,5513886,1951,134
135,291,6645809,1958,135
136,147,1864647,1998,136
137,114,4532697,1979,137
138,77,7219500,2021,138
139,466,1469716,2000,139
140,191,1728606,1967,140
141,323,8079364,1995,141
142,132,8851512,1985,142
143,20,7365481,1980,143
144,233,3540630,2000,144
145,469,4851663,1982,145
146,49,9952987,1992,146
147,82,3019292,1948,147
148,181,4122426,1989,148
149,152,9344826,2002,149
150,227,6193023,2005,150
151,373,4501260,1974,151
152,140,9869047,1987,152
153,391,7597825,1994,153
154,197,7764046,1970,154
155,410,8160828,1966,155
156,233,5040219,1982,156
157,392,5009315,1996,157
158,406,5253438,1953,158
159,116,2025050,2007,159
160,111,393922,1960,160
161,464,5526342,2011,161
162,465,7126805,2006,162
163,112,9756316,1987,163
164,274,1432370,1984,164
165,2,3284139,1958,165
166,208,1885333,2011,166
167,201,7447929,2003,167
168,492,987281,2020,168
169,97,1197180,2004,169
170,362,9509535,1950,170
171,210,8009128,1955,171
172,259,2309282,1979,172
173,81,7211672,1993,173
174,155,3569945,1978,174
175,442,2262067,1991,175
176,397,1444363,1973,176
177,112,768968,1975,177
178,331,3711662,1987,178
179,329,8965235,2015,179
180,43,6691366,1962,180
181,233,4931134,1965,181
182,497,3663847,1986,182
183,176,9545045,1971,183
184,90,8386755,2014,184
185,183,8885181,1979,185
186,12,9062975,1946,186
187,229,1866360,1955,187
188,149,9324046,1987,188
189,408,8815886,2021,189
190,229,3028664,1983,190
191,168,8735249,1955,191
192,381,5925617,1986,192
193,18,4957494,1965,193
194,113,2571683,1969,194
195,210,6178924,1971,195
196,449,9924322,1961,196
197,412,8069988,1975,197
198,98,7325710,1966,198
199,300,7380113,2004,199
200,136,3375623,1976,200
201,65,4053896,1995,201
202,107,4694071,2019,202
203,466,1355803,1956,203
204,201,4534801,2015,204
205,491,5760343,1981,205
206,279,8677084,1968,206
207,86,9216923,1997,207
208,76,829943,1977,208
209,413,9848744,1985,209
210,429,6606904,2019,210
211,436,7143744,2001,211
212,265,791890,1971,212
213,59,7470677,1997,213
214,324,1999874,2017,214
215,32,4953829,1960,215
216,437,4632398,2012,216
217,250,1967137,2000,217
218,357,3225177,1993,218
219,407,1825521,1959,219
220,285,3445027,1946,220
221,86,3906334,1963,221
222,164,7398074,2019,222
223,177,5334101,1947,223
224,220,9312007,1952,224
225,386,2931480,1951,225
226,414,1985168,1950,226
227,337,9854673,1953,227
228,206,5609716,1958,228
229,111,9591051,1961,229
230,389,6519464,2016,230
231,444,5080512,1964,231
232,46,6912260,2005,232
233,33,1846879,2016,233
234,10,640485,1981,234
235,130,6977259,2002,235
236,99,686049,2018,236
237,86,4400786,1988,237
238,461,179277,2011,238
239,160,9128172,1986,239
240,410,3361601,1962,240
241,237,4258735,1976,241
242,480,5677947,2016,242
243,280,6517740,1980,243
244,454,7643449,1978,244
245,387,8448805,1956,245
246,470,3416356,1995,246
247,440,9737971,1964,247
248,496,9041669,2008,248
249,199,884383,1985,249
250,347,6106831,2013,250
251,209,4484035,2002,251
252,183,3831162,1993,252
253,104,7563271,1949,253
254,461,6408926,2003,254
255,235,8693191,2011,255
256,470,6962647,1955,256
257,123,3925888,1980,257
258,476,8592631,1972,258
259,140,6532765,1971,259
260,293,3755928,1995,260
261,108,1372093,1955,261
262,199,5202122,1955,262
263,44,9149731,2001,263
264,407,9015279,2012,264
265,234,6731376,2010,265
266,3,4440629,2019,266
267,236,252181,2002,267
268,32,5550510,1950,268
269,433,3982412,2017,269
270,143,3668495,1961,270
271,303,2430092,2001,271
272,452,6661804,2018,272
273,437,6567872,2011,273
274,157,5205464,1977,274
275,399,9528253,2023,275
276,102,4776329,1976,276
277,344,8232729,1965,277
278,75,9504789,1984,278
279,259,5042560,1947,279
280,398,4749804,1955,280
281,17,781655,2022,281
282,72,796501,1996,282
283,256,2132544,1949,283
284,299,6458416,1960,284
285,413,3049922,2022,285
286,54,2671989,1957,286
287,217,1486482,1948,287
288,21,2446765,1951,288
289,468,5639888,1946,289
290,166,4296527,2007,290
291,355,2870916,2023,291
292,195,3819313,1976,292
293,122,3675808,2019,293
294,304,2176320,1948,294
295,68,1541950,2004,295
296,459,7327904,1967,296
297,458,2171388,1964,297
298,486,619110,1949,298
299,46,281225,2013,299
300,139,423675,2000,300
301,470,4335222,1998,301
302,63,4024414,1956,302
303,184,2988659,1966,303
304,216,402202,1963,304
305,25,8908929,1993,305
306,56,6908454,1946,306
307,203,4615327,1977,307
308,219,8222795,1955,308
309,386,6853337,1961,309
310,353,9878287,1997,310
311,392,7336385,1964,311
312,441,8272542,1986,312
313,399,169038,1985,313
314,233,6391130,1953,314
315,24,2487717,1949,315
316,361,357042,1989,316
317,328,3030661,1986,317
318,209,3916591,1994,318
319,273,1869447,1948,319
320,228,5748245,2016,320
321,374,9394777,1997,321
322,117,9726861,1973,322
323,381,9743036,1957,323
324,354,6165138,2018,324
325,108,4584308,1982,325
326,423,9060456,1970,326
327,370,2487484,1997,327
328,12,2306441,2023,328
329,411,8103057,2011,329
330,447,1249505,1977,330
331,367,4266400,2002,331
332,74,3327841,1974,332
333,195,6564719,2010,333
334,32,2652711,1988,334
335,194,1784074,1965,335
336,117,8252090,1971,336
337,4,835948,1985,337
338,409,3950347,1987,338
339,205,673780,2004,339
340,106,6045095,1997,340
341,83,5977101,1974,341
342,272,6769692,1986,342
343,411,7153485,1961,343
344,357,2828532,1951,344
345,186,5485807,2003,345
346,76,8027766,1948,346
347,300,2735677,1950,347
348,231,8732873,2014,348
349,416,9344958,1969,349
350,280,4092528,1979,350
351,456,9215068,1989,351
352,451,997851,1949,352
353,266,6034728,2016,353
354,29,5392992,2004,354
355,313,3398059,1988,355
356,75,9418795,1950,356
357,141,7272432,2006,357
358,157,7869758,1997,358
359,132,674710,2005,359
360,314,3010714,1974,360
361,133,375557,1964,361
362,250,6636555,2023,362
363,394,6804108,2014,363
364,48,8845718,2021,364
365,337,4389996,2012,365
366,465,3364417,1966,366
367,180,9924843,1963,367
368,417,6730994,1962,368
369,225,2203226,1969,369
370,283,7075090,2009,370
371,65,400221,1989,371
372,288,7750154,1983,372
373,20,2473730,2007,373
374,310,2137214,2014,374
375,43,8332885,1958,375
376,320,6569370,1987,376
377,397,3915453,1950,377
378,140,2929936,1968,378
379,85,9704180,1954,379
380,449,6643052,1970,380
381,421,8105192,1967,381
382,379,9934925,2020,382
383,27,3712815,2003,383
384,375,2208087,1952,384
385,58,8616308,1996,385
386,297,4570543,1972,386
387,499,4464334,1967,387
388,56,2528070,1981,388
389,230,5216153,1965,389
390,72,3035232,1949,390
391,101,2515865,1966,391
392,294,3704385,1947,392
393,141,7715433,2014,393
394,140,506544,2014,394
395,280,4968957,1953,395
396,225,8619990,2007,396
397,248,3487529,1975,397
398,171,8082536,1954,398
399,267,564134,1999,399
400,499,4112442,1955,400
401,268,9614577,2011,401
402,42,4408145,1959,402
403,57,5949878,1947,403
404,335,4512179,1995,404
405,169,4892865,2003,405
406,35,9912884,1955,406
407,487,8129448,1960,407
408,358,8553494,2000,408
409,12,1540853,2010,409
410,99,2148232,1972,410
411,258,8616904,1991,411
412,4,2912213,1956,412
413,2,8806147,1978,413
414,374,8912566,2006,414
415,152,1996630,1994,415
416,207,227992,1947,416
417,276,7005202,1964,417
418,451,9838444,1961,418
419,371,4123199,1946,419
420,387,6638486,2021,420
421,71,8166797,1971,421
422,149,4931799,1976,422
423,82,8332453,1958,423
424,54,4298404,2023,424
425,39,7249881,1998,425
426,299,9895387,1986,426
427,310,1635622,1997,427
428,3,1143922,1981,428
429,164,6055519,1985,429
430,427,6152565,1966,430
431,307,2231521,1953,431
432,227,409748,2006,432
433,241,7305018,1952,433
434,447,4209306,2017,434
435,113,7474186,1997,435
436,141,5451138,2005,436
437,163,4716224,1975,437
438,409,7495813,1948,438
439,404,9068971,2010,439
440,449,5063371,2014,440
441,139,8466085,1968,441
442,64,2961941,2022,442
443,231,9653221,2022,443
444,312,3297387,1992,444
445,472,8391917,1949,445
446,7,2627162,1991,446
447,98,5562806,1952,447
448,387,9598741,1951,448
449,7,7712087,1971,449
450,360,1546335,1956,450
451,371,1198509,2010,451
452,409,5324988,1988,452
453,129,3508843,1998,453
454,463,8129213,1969,454
455,295,1341898,1947,455
456,122,1902592,1957,456
457,221,2951942,2006,457
458,101,7732937,1987,458
459,90,4704648,1974,459
460,233,3480585,1972,460
461,459,5669219,1953,461
462,81,9527081,1983,462
463,336,1676837,1963,463
464,197,8204617,1988,464
465,117,2240997,1984,465
466,229,8317764,1964,466
467,390,6563455,1989,467
468,418,7918513,1997,468
469,374,8420022,1949,469
470,16,7486503,2009,470
471,225,6419742,2020,471
472,354,2872149,1984,472
473,435,7836684,2007,473
474,361,4856839,1994,474
475,332,9746037,1953,475
476,78,9000240,1994,476
477,380,7581018,1997,477
478,60,6520272,1966,478
479,156,8230898,1984,479
480,279,6488158,2000,480
481,122,6644534,1966,481
482,197,2539751,2021,482
483,59,3638627,2000,483
484,88,8823908,1954,484
485,441,1361613,1960,485
486,205,3097656,1974,486
487,100,7691765,1981,487
488,242,3980435,2019,488
489,495,5698773,1985,489
490,319,3476843,2006,490
491,392,135258,1961,491
492,164,5364137,1953,492
493,48,5507089,1998,493
494,474,5840606,1948,494
495,458,806290,2000,495
496,432,8995962,1951,496
497,485,293146,1999,497
498,356,569453,1958,498
499,19,1727338,1951,499
500,282,190027,2009,500
501,74,1233493,1997,501
502,343,9038691,1988,502
503,486,7991591,1964,503
504,113,6493897,2013,504
505,187,4192357,1965,505
506,208,2658252,1989,506
507,287,9972000,2010,507
508,430,7614061,2003,508
509,24,813657,1984,509
510,91,8304283,2007,510
511,39,4175067,2012,511
512,465,2525731,2021,512
513,104,8254602,1982,513
514,166,844007,1965,514
515,330,1039204,1986,515
516,72,7773742,1989,516
517,163,3318909,2011,517
518,36,6016280,1979,518
519,270,7967850,2010,519
520,299,8417734,1955,520
521,436,419909,1981,521
522,269,8416159,2017,522
523,139,5178792,1958,523
524,195,6004831,1948,524
525,344,6598283,1996,525
526,90,6208646,1982,526
527,180,6600062,1968,527
528,188,744670,1952,528
529,210,3882002,1978,529
530,60,2566423,2002,530
531,184,4915118,1970,531
532,101,1802846,1997,532
533,373,2527410,2012,533
534,147,2608799,1953,534
535,274,4683984,2015,535
536,484,2657515,1965,536
537,7,4438245,1947,537
538,176,2859505,2015,538
539,243,450063,1959,539
540,269,8501144,1965,540
541,105,1711560,2006,541
542,262,3349730,1993,542
543,202,5662371,1978,543
544,76,8382853,1982,544
545,485,121015,1987,545
546,92,321289,1952,546
547,166,9850058,2019,547
548,299,7527669,1971,548
549,87,1558359,1990,549
550,287,8138853,1958,550
551,66,6314546,1950,551
552,181,8488758,1957,552
553,368,5921490,1954,553
554,370,7242776,2000,554
555,452,121420,2010,555
556,202,4295105,2014,556
557,143,8319250,1976,557
558,33,1534361,1960,558
559,350,9347698,2003,559
560,187,2440017,1967,560
561,396,257830,1989,561
562,476,2462178,1986,562
563,291,2660242,2001,563
564,462,2888775,1982,564
565,225,1015868,2004,565
566,370,7320437,1948,566
567,263,4818471,1973,567
568,496,2738212,1969,568
569,229,3070914,1962,569
570,389,5096753,1994,570
571,33,5862098,1986,571
572,299,967510,2017,572
573,301,1792838,1974,573
574,164,8890311,1996,574
